# Kerning | Font: Vergil-Regular | zones=9 supersample=10 smooth=40% round=1 mingap=1/2
# Basiswert LC (n+n): Ø299.9  |  Basiswert UC (O+O): Ø456.8
# Format: LinkerBuchstabe;RechterBuchstabe;Korrekturwert (LC/UC z<i>:Zonenwert,...)
# Korrektur = round(Basiswert - PaarDurchschnitt) | Negativ=enger, Positiv=weiter
A;seven;-190 (UC z2:417.9,z3:587.2,z4:766.6,z5:766.6,z6:766.6,z7:766.6) [cap:min=417.9→228.4]
A;eight;-80 (UC z2:308.2,z3:308.2,z4:437.2,z5:654,z6:676.4,z7:878.8) [cap:min=308.2→228.4]
A;nine;-117 (UC z2:345.5,z3:550.9,z4:550.9,z5:550.9,z6:628,z7:844.8) [cap:min=345.5→228.4]
A;zero.osf;-96 (mixed→LC z2:297.7,z3:297.7,z4:386.2,z5:603)
A;one.osf;-61 (mixed→LC z2:210.5,z3:413.7,z4:522.4,z5:563.4) [cap:min=210.5→149.9]
A;two.osf;22 (mixed→LC z2:127.8,z3:344.6,z4:561.4,z5:564.6) [cap:min=127.8→149.9]
A;three.osf;-173 (mixed→LC z2:391.4,z3:381.9,z4:598.7,z5:521)
A;four.osf;-255 (mixed→LC z2:404.9,z3:404.9,z4:621.7,z5:838.5,z6:1055.3) [cap:min=404.9→149.9]
A;five.osf;-162 (mixed→LC z2:407.9,z3:407.9,z4:407.9,z5:624.7)
A;six.osf;-111 (mixed→LC z2:260.5,z3:260.5,z4:383.9,z5:600.7,z6:817.5) [cap:min=260.5→149.9]
A;seven.osf;-202 (mixed→LC z2:381.5,z3:542.3,z4:542.3,z5:542.3)
A;eight.osf;-110 (mixed→LC z2:259.9,z3:274.5,z4:491.3,z5:527.9,z6:674.9,z7:891.7) [cap:min=259.9→149.9]
A;nine.osf;-112 (mixed→LC z2:278.8,z3:278.8,z4:437.4,z5:654.2)
A;period;22 (mixed→LC z2:212.4,z3:344)
A;comma;7 (mixed→LC z2:243.5,z3:342.1)
A;colon;-64 (mixed→LC z2:214.2,z4:484.1,z5:590.4) [cap:min=214.2→149.9]
A;semicolon;-91 (mixed→LC z2:241.1,z3:377.3,z4:524.4,z5:615.5) [cap:min=241.1→149.9]
A;periodcentered;-261 (mixed→LC z4:495.2,z5:627)
A;hyphen;-56 (mixed→LC z4:355.4)
A;endash;-56 (mixed→LC z4:355.4)
A;emdash;-56 (mixed→LC z4:355.4)
A;ampersand;-132 (mixed→LC z2:281.7,z3:281.7,z4:403.8,z5:620.6,z6:837.4,z7:924.1) [cap:min=281.7→149.9]
A;verticalbar;-35 (mixed→LC z2:184.6,z3:293,z4:401.4,z5:509.8,z6:618.2,z7:726.6) [cap:min=184.6→149.9]
B;.notdef;-135 (mixed→LC z2:462.5,z3:354.1,z4:365.9,z5:474.3,z6:436.1,z7:517.8)
B;A;-89 (UC z2:317.3,z3:317.3,z4:437.5,z5:654.3,z6:724.5,z7:914.6) [cap:min=317.3→228.4]
B;B;69 (UC z2:307.4,z3:307.4,z4:371.9,z5:480.3,z6:442.1,z7:418.5)
B;C;19 (UC z2:588.3,z3:371.5,z4:275.7,z5:373.2,z6:413.1,z7:603.2)
B;D;67 (UC z2:313,z3:313,z4:371.9,z5:480.3,z6:442.1,z7:418.5)
B;E;69 (UC z2:307.4,z3:307.4,z4:371.9,z5:480.3,z6:442.1,z7:414.7)
B;F;68 (UC z2:313,z3:313,z4:371.9,z5:480.3,z6:442.1,z7:414.7)
B;G;19 (UC z2:588.3,z3:371.5,z4:275.7,z5:373.2,z6:413.1,z7:603.2)
B;H;67 (UC z2:313,z3:313,z4:371.9,z5:480.3,z6:442.1,z7:418.5)
B;I;67 (UC z2:313,z3:313,z4:371.9,z5:480.3,z6:442.1,z7:418.5)
B;J;55 (UC z2:350.4,z3:350.4,z4:371.9,z5:480.3,z6:442.1,z7:418.5)
B;K;67 (UC z2:313,z3:313,z4:371.9,z5:480.3,z6:442.1,z7:418.5)
B;L;67 (UC z2:313,z3:313,z4:371.9,z5:480.3,z6:442.1,z7:418.5)
B;M;44 (UC z2:333.8,z3:333.8,z4:381.5,z5:501.2,z6:474.3,z7:452.4)
B;N;54 (UC z2:344.3,z3:344.3,z4:376.9,z5:485.3,z6:447.1,z7:416.7)
B;O;19 (UC z2:586.5,z3:369.7,z4:275,z5:373.6,z6:414.7,z7:604.8)
B;P;55 (UC z2:340.5,z3:340.5,z4:371.9,z5:480.3,z6:442.1,z7:437.4)
B;Q;20 (UC z2:585.7,z3:368.9,z4:275.1,z5:373.6,z6:414.7,z7:604.8)
B;R;55 (UC z2:340.5,z3:340.5,z4:371.9,z5:480.3,z6:442.1,z7:437.4)
B;S;39 (UC z2:401.7,z3:368.7,z4:464.9,z5:464.9,z6:318.3,z7:486.2)
B;T;-42 (UC z2:740.2,z3:591.9,z4:495.3,z5:495.3,z6:348.7,z7:322)
B;U;43 (UC z2:566.3,z3:349.5,z4:332.9,z5:441.3,z6:403.1,z7:388.9)
B;V;-154 (UC z2:909,z3:692.2,z4:595.6,z5:595.6,z6:449,z7:422.3)
B;W;-137 (UC z2:838.1,z3:662.1,z4:593.8,z5:596,z6:449.4,z7:422.7)
B;X;-26 (UC z2:362.9,z3:362.9,z4:483.1,z5:699.9,z6:563.2,z7:426.5)
B;Y;-108 (UC z2:693,z3:680.7,z4:584.1,z5:584.1,z6:437.5,z7:410.8)
B;Z;31 (UC z2:335,z3:346.5,z4:538.6,z5:551,z6:404.4,z7:377.7)
B;Z.alt;17 (UC z2:633.8,z3:417,z4:449.7,z5:449.7,z6:303.1,z7:384.8)
B;a;-88 (mixed→LC z2:366.9,z3:308.4,z4:428.6,z5:445.7)
B;ae;-53 (mixed→LC z2:336.9,z3:259.5,z4:379.7,z5:434.4)
B;b;-68 (mixed→LC z2:496.9,z3:280.1,z4:291.9,z5:400.3,z6:362.1,z7:378.6)
B;c;-27 (mixed→LC z2:428.6,z3:211.8,z4:225.2,z5:442)
B;d;-65 (mixed→LC z2:431.4,z3:214.6,z4:219.3,z5:436.1,z6:506.3,z7:696.4) [cap:min=214.6→149.9]
B;e;-26 (mixed→LC z2:433.7,z3:216.9,z4:218.7,z5:435.5)
B;f;-87 (mixed→LC z2:323.5,z3:313.5,z4:325.9,z5:379.1,z6:410.9,z7:568.2)
B;g;-45 (mixed→LC z2:388,z3:317.6,z4:230.5,z5:442)
B;h;-51 (mixed→LC z2:306.5,z3:296.5,z4:308.9,z5:417.3,z6:379.1,z7:395.1)
B;i;-60 (mixed→LC z2:323.5,z3:313.5,z4:310.1,z5:357.8,z6:400.6,z7:452.7)
B;dotlessi;-26 (mixed→LC z2:323.5,z3:313.5,z4:310.1,z5:357.8)
B;j;-36 (mixed→LC z2:282.4,z3:282.4,z4:293.1,z5:340.8,z6:383.6,z7:435.7)
B;uni0237;0 (mixed→LC z2:282.4,z3:282.4,z4:293.1,z5:340.8)
B;k;-51 (mixed→LC z2:306.5,z3:296.5,z4:308.9,z5:417.3,z6:379.1,z7:395.1)
B;l;-51 (mixed→LC z2:306.5,z3:296.5,z4:308.9,z5:417.3,z6:379.1,z7:395.1)
B;m;-26 (mixed→LC z2:323.5,z3:313.5,z4:310.1,z5:357.8)
B;n;-30 (mixed→LC z2:317.2,z3:312.9,z4:310.1,z5:379.4)
B;o;-28 (mixed→LC z2:434.4,z3:217.6,z4:221.2,z5:438)
B;p;-37 (mixed→LC z2:405.5,z3:297.1,z4:281.6,z5:361.8)
B;q;-25 (mixed→LC z2:431.6,z3:214.8,z4:219.1,z5:435.9)
B;r;-25 (mixed→LC z2:323.5,z3:313.5,z4:310.1,z5:351.8)
B;s;-22 (mixed→LC z2:331.1,z3:331.1,z4:254.3,z5:371.7)
B;germandbls;-41 (mixed→LC z2:274.5,z3:264.5,z4:276.9,z5:348.5,z6:361.9,z7:519.2)
B;longs;-41 (mixed→LC z2:274.5,z3:264.5,z4:276.9,z5:348.5,z6:361.9,z7:519.2)
B;t;-56 (mixed→LC z2:422.7,z3:280.1,z4:291.9,z5:363.5,z6:420.3)
B;u;-54 (mixed→LC z2:464.2,z3:297.4,z4:308.9,z5:345)
B;v;-120 (mixed→LC z2:630.3,z3:413.5,z4:316.9,z5:316.9)
B;w;-120 (mixed→LC z2:630.3,z3:413.5,z4:316.9,z5:316.9)
B;x;-42 (mixed→LC z2:313.6,z3:415.8,z4:319.3,z5:319.3)
