# Kerning | Font: Centenary-Regular | zones=9 supersample=10 smooth=40% round=1 mingap=1/2
# Basiswert LC (n+n): Ø342.6  |  Basiswert UC (O+O): Ø515.1
# Format: LinkerBuchstabe;RechterBuchstabe;Korrekturwert (LC/UC z<i>:Zonenwert,...)
# Korrektur = round(Basiswert - PaarDurchschnitt) | Negativ=enger, Positiv=weiter
.notdef;Z;-158 (mixed→LC z2:329,z3:427.4,z4:532.3,z5:637.2,z6:742.1,z7:411.9,z8:430) [cap:min=329→171.3]
.notdef;a;-90 (LC z2:401.7,z3:339,z4:443.9,z5:508.5,z6:472.2)
.notdef;aacute;-146 (LC z2:401.7,z3:339,z4:443.9,z5:508.5,z6:471.4,z7:576.3,z8:681.2)
.notdef;acircumflex;-133 (LC z2:401.7,z3:339,z4:443.9,z5:508.5,z6:455.7,z7:537.8,z8:642.7)
.notdef;adieresis;-95 (LC z2:401.7,z3:339,z4:443.9,z5:508.5,z6:472.2,z7:424.3,z8:473.4)
.notdef;agrave;-135 (LC z2:401.7,z3:339,z4:443.9,z5:508.5,z6:582.2,z7:562.8,z8:502.9)
.notdef;atilde;-94 (LC z2:401.7,z3:339,z4:443.9,z5:508.5,z6:472.2,z7:455.5)
.notdef;b;-54 (LC z2:397.4,z3:400,z4:404.3,z5:407.6,z6:408.8,z7:407,z8:352.7)
.notdef;c;-66 (LC z2:482.9,z3:378,z4:313.4,z5:381.9,z6:486.8)
.notdef;ccedilla;-88 (LC z1:542.3,z2:483,z3:378.1,z4:313.4,z5:381.9,z6:486.8)
.notdef;d;-130 (LC z2:482.6,z3:377.7,z4:313.2,z5:377.1,z6:482,z7:586.9,z8:691.8)
.notdef;e;-65 (LC z2:484.2,z3:379.3,z4:313.3,z5:379,z6:483.9)
.notdef;eacute;-132 (LC z2:484.2,z3:379.3,z4:313.3,z5:379,z6:483.9,z7:588.8,z8:693.7)
.notdef;ecircumflex;-113 (LC z2:484.2,z3:379.3,z4:313.3,z5:379,z6:483.9,z7:521.8,z8:626.7)
.notdef;edieresis;-72 (LC z2:484.2,z3:379.3,z4:313.3,z5:379,z6:483.9,z7:408.3,z8:457.4)
.notdef;egrave;-96 (LC z2:484.2,z3:379.3,z4:313.3,z5:379,z6:483.9,z7:546.8,z8:486.9)
.notdef;f;-87 (LC z2:305,z3:409.9,z4:442.7,z5:430.1,z6:400.6,z7:458.1,z8:563)
.notdef;g;-6 (LC z0:340.1,z1:254.2,z2:359.1,z3:363.4,z4:362.4,z5:326.4,z6:431.3)
.notdef;h;-48 (LC z2:275,z3:379.9,z4:422.3,z5:426.5,z6:425.7,z7:421.4,z8:380.1)
.notdef;i;-63 (LC z2:305,z3:409.9,z4:442,z5:425.1,z6:424.3,z7:422.9,z8:411.2)
.notdef;dotlessi;-59 (LC z2:305,z3:409.9,z4:442,z5:425.1,z6:424.3)
.notdef;iacute;-79 (LC z2:305,z3:409.9,z4:442,z5:425.1,z6:379.8,z7:442.9,z8:547.8)
.notdef;icircumflex;-47 (LC z2:305,z3:409.9,z4:442,z5:425.1,z6:366.4,z7:336.8,z8:441.7)
.notdef;idieresis;-2 (LC z2:305,z3:419.2,z4:442,z5:425.1,z6:328.2,z7:223.3,z8:272.4)
.notdef;igrave;-46 (LC z2:305,z3:419.2,z4:442,z5:425.1,z6:466.7,z7:361.8,z8:301.9)
.notdef;j;46 (LC z0:14.1,z1:119,z2:223.9,z3:328.8,z4:424.6,z5:380,z6:402.5,z7:391.6,z8:380.9)
.notdef;uni0237;72 (LC z0:14.1,z1:119,z2:223.9,z3:328.8,z4:424.6,z5:380,z6:402.5)
.notdef;uni006A0301;31 (LC z0:14.1,z1:119,z2:223.9,z3:328.8,z4:424.6,z5:380,z6:359.1,z7:424.9,z8:529.8)
.notdef;k;-49 (LC z2:281,z3:385.9,z4:423,z5:426.4,z6:426.2,z7:421.1,z8:379.2)
.notdef;l;-51 (LC z2:283,z3:387.9,z4:423.2,z5:425.8,z6:424.7,z7:420.6,z8:389.2)
.notdef;m;-48 (LC z2:305,z3:409.9,z4:442,z5:411.5,z6:386.6)
.notdef;n;-55 (LC z2:305,z3:409.9,z4:441.8,z5:422.8,z6:409.1)
.notdef;ntilde;-75 (LC z2:305,z3:409.9,z4:441.8,z5:422.8,z6:409.1,z7:514)
